Time (s),Amplitude (µV)
2.897298543,129
2.90305858,125
2.908818616,130
2.914578653,128
2.92033869,108
2.926098727,84
2.931858764,52
2.937618801,4
2.943378838,-41
2.949138874,-60
2.954898911,-77
2.960658948,-75
2.966418985,-64
2.972179022,-61
2.977939059,-65
2.983699096,-70
2.989459133,-63
2.995219169,-57
3.000979206,-43
3.006739243,-38
3.01249928,-3
3.018259317,9
3.024019354,21
3.029779391,44
3.035539427,57
3.041299464,71
3.047059501,70
3.052819538,46
3.058579575,6
3.064339612,-43
3.070099649,-85
3.075859686,-106
3.081619722,-133
3.087379759,-130
3.093139796,-111
3.098899833,-91
3.10465987,-62
3.110419907,-39
3.116179944,4
3.12193998,42
3.127700017,90
3.133460054,160
3.139220091,198
3.144980128,224
3.150740165,228
3.156500202,224
3.162260238,208
3.168020275,197
3.173780312,183
3.179540349,168
3.185300386,146
3.191060423,133
3.19682046,118
3.202580497,86
3.208340533,81
3.21410057,64
3.219860607,46
3.225620644,28
3.231380681,8
3.237140718,1
3.242900755,-8
3.248660791,9
3.254420828,43
3.260180865,49
3.265940902,49
3.271700939,15
3.277460976,-28
3.283221013,-98
3.288981049,-141
3.294741086,-180
3.300501123,-199
3.30626116,-211
3.312021197,-203
3.317781234,-171
3.323541271,-125
3.329301308,-66
3.335061344,-13
3.340821381,31
3.346581418,61
3.352341455,71
3.358101492,66
3.363861529,51
3.369621566,57
3.375381602,58
3.381141639,58
3.386901676,80
3.392661713,96
3.39842175,109
3.404181787,93
3.409941824,70
3.41570186,39
3.421461897,-1
3.427221934,-20
3.432981971,-24
3.438742008,-1
3.444502045,8
3.450262082,13
3.456022119,-4
3.461782155,-14
3.467542192,-17
3.473302229,21
3.479062266,48
3.484822303,86
3.49058234,113
3.496342377,123
3.502102413,135
3.50786245,136
3.513622487,145
3.519382524,154
3.525142561,166
3.530902598,174
3.536662635,158
3.542422672,130
3.548182708,96
3.553942745,72
3.559702782,46
3.565462819,34
3.571222856,31
3.576982893,34
3.58274293,20
3.588502966,18
3.594263003,22
3.60002304,2
3.605783077,8
3.611543114,5
3.617303151,5
3.623063188,-4
3.628823224,-13
3.634583261,-13
3.640343298,-4
3.646103335,-3
3.651863372,-1
3.657623409,-3
3.663383446,-15
3.669143483,-26
3.674903519,-45
3.680663556,-72
3.686423593,-87
3.69218363,-91
3.697943667,-121
3.703703704,-149
3.709463741,-157
3.715223777,-173
3.720983814,-171
3.726743851,-148
3.732503888,-111
3.738263925,-81
3.744023962,-65
3.749783999,-42
3.755544035,-29
3.761304072,-9
3.767064109,-15
3.772824146,-10
3.778584183,-17
3.78434422,-34
3.790104257,-49
3.795864294,-74
3.80162433,-88
3.807384367,-88
3.813144404,-71
3.818904441,-57
3.824664478,-48
3.830424515,-45
3.836184552,-63
3.841944588,-79
3.847704625,-82
3.853464662,-62
3.859224699,-43
3.864984736,-18
3.870744773,3
3.87650481,24
3.882264846,27
3.888024883,35
3.89378492,42
3.899544957,57
3.905304994,75
3.911065031,88
3.916825068,64
3.922585105,27
3.928345141,-1
3.934105178,-28
3.939865215,-41
3.945625252,-49
3.951385289,-45
3.957145326,-35
3.962905363,-30
3.968665399,-18
3.974425436,0
3.980185473,2
3.98594551,30
3.991705547,59
3.997465584,73
4.003225621,72
4.008985658,75
4.014745694,72
4.020505731,69
4.026265768,54
4.032025805,35
4.037785842,0
4.043545879,-43
4.049305916,-80
4.055065952,-132
4.060825989,-151
4.066586026,-166
4.072346063,-136
4.0781061,-110
4.083866137,-90
4.089626174,-63
4.09538621,-52
4.101146247,-28
4.106906284,-13
4.112666321,19
4.118426358,44
4.124186395,46
4.129946432,36
4.135706469,26
4.141466505,12
4.147226542,8
4.152986579,7
4.158746616,-21
4.164506653,-36
4.17026669,-65
4.176026727,-66
4.181786763,-73
4.1875468,-59
4.193306837,-37
4.199066874,-10
4.204826911,9
4.210586948,35
4.216346985,50
4.222107021,53
4.227867058,72
4.233627095,97
4.239387132,106
4.245147169,114
4.250907206,117
4.256667243,93
4.26242728,61
4.268187316,38
4.273947353,28
4.27970739,13
4.285467427,-9
4.291227464,-42
4.296987501,-71
4.302747538,-111
4.308507574,-111
4.314267611,-99
4.320027648,-74
4.325787685,-46
4.331547722,-18
4.337307759,-3
4.343067796,9
4.348827832,21
4.354587869,41
4.360347906,54
4.366107943,71
4.37186798,88
4.377628017,93
4.383388054,77
4.389148091,62
4.394908127,40
4.400668164,30
4.406428201,10
4.412188238,3
4.417948275,-21
4.423708312,-40
4.429468349,-72
4.435228385,-109
4.440988422,-136
4.446748459,-149
4.452508496,-145
4.458268533,-129
4.46402857,-96
4.469788607,-43
4.475548644,-2
4.48130868,27
4.487068717,42
4.492828754,48
4.498588791,30
4.504348828,-14
4.510108865,-35
4.515868902,-61
4.521628938,-86
4.527388975,-94
4.533149012,-114
4.538909049,-112
4.544669086,-90
4.550429123,-56
4.55618916,-28
4.561949196,-5
4.567709233,6
4.57346927,23
4.579229307,-8
4.584989344,-24
4.590749381,-38
4.596509418,-55
4.602269455,-72
4.608029491,-74
4.613789528,-62
4.619549565,-56
4.625309602,-43
4.631069639,-38
4.636829676,-26
4.642589713,-43
4.648349749,-51
4.654109786,-62
4.659869823,-55
4.66562986,-43
4.671389897,-27
4.677149934,-9
4.682909971,-15
4.688670007,-7
4.694430044,-2
4.700190081,6
4.705950118,18
4.711710155,18
4.717470192,13
4.723230229,0
4.728990266,12
4.734750302,21
4.740510339,43
4.746270376,58
4.752030413,79
4.75779045,99
4.763550487,93
4.769310524,107
4.77507056,100
4.780830597,112
4.786590634,122
4.792350671,134
4.798110708,129
4.803870745,102
4.809630782,73
4.815390819,43
4.821150855,21
4.826910892,13
4.832670929,6
4.838430966,-9
4.844191003,-26
4.84995104,-52
4.855711077,-54
4.861471113,-59
4.86723115,-38
4.872991187,-25
4.878751224,-5
4.884511261,-3
4.890271298,1
4.896031335,-8
4.901791371,-19
4.907551408,-33
4.913311445,-21
4.919071482,-36
4.924831519,-44
4.930591556,-56
4.936351593,-51
4.94211163,-41
4.947871666,-33
4.953631703,-1
4.95939174,3
4.965151777,9
4.970911814,14
4.976671851,6
4.982431888,-7
4.988191924,-23
4.993951961,-14
4.999711998,-11
5.005472035,8
5.011232072,15
5.016992109,23
5.022752146,22
5.028512182,25
5.034272219,34
5.040032256,37
5.045792293,41
5.05155233,56
5.057312367,58
5.063072404,56
5.068832441,59
5.074592477,49
5.080352514,44
5.086112551,23
5.091872588,10
5.097632625,-1
5.103392662,-16
5.109152699,-24
5.114912735,-11
5.120672772,2
5.126432809,19
5.132192846,23
5.137952883,16
5.14371292,8
5.149472957,5
5.155232993,7
5.16099303,14
5.166753067,36
5.172513104,50
5.178273141,67
5.184033178,74
5.189793215,84
5.195553252,71
5.201313288,55
5.207073325,29
5.212833362,38
5.218593399,23
5.224353436,12
5.230113473,-11
5.23587351,-44
5.241633546,-77
5.247393583,-85
5.25315362,-83
5.258913657,-77
5.264673694,-74
5.270433731,-56
5.276193768,-36
5.281953805,-24
5.287713841,7
5.293473878,43
5.299233915,66
5.304993952,91
5.310753989,96
5.316514026,93
5.322274063,72
5.328034099,50
5.333794136,34
5.339554173,7
5.34531421,-5
5.351074247,-10
5.356834284,-38
5.362594321,-59
5.368354357,-78
5.374114394,-72
5.379874431,-55
5.385634468,-33
5.391394505,2
5.397154542,25
5.402914579,50
5.408674616,64
5.414434652,85
5.420194689,93
5.425954726,94
5.431714763,101
5.4374748,101
5.443234837,83
5.448994874,72
5.45475491,55
5.460514947,23
5.466274984,14
5.472035021,2
5.477795058,-7
5.483555095,-26
5.489315132,-21
5.495075168,-21
5.500835205,6
5.506595242,19
5.512355279,45
5.518115316,74
5.523875353,94
5.52963539,115
5.535395427,127
5.541155463,133
5.5469155,126
5.552675537,124
5.558435574,105
5.564195611,86
5.569955648,76
5.575715685,59
5.581475721,48
5.587235758,17
5.592995795,-2
5.598755832,-23
5.604515869,-30
5.610275906,-34
5.616035943,-31
5.621795979,-31
5.627556016,-21
5.633316053,-1
5.63907609,23
5.644836127,34
5.650596164,49
5.656356201,55
5.662116238,53
5.667876274,49
5.673636311,50
5.679396348,47
5.685156385,40
5.690916422,44
5.696676459,30
5.702436496,14
5.708196532,-7
5.713956569,3
5.719716606,-13
5.725476643,-10
5.73123668,-32
5.736996717,-45
5.742756754,-74
5.748516791,-76
5.754276827,-76
5.760036864,-69
5.765796901,-48
5.771556938,-25
5.777316975,-12
5.783077012,1
5.788837049,21
5.794597085,53
5.800357122,81
5.806117159,99
5.811877196,100
5.817637233,68
5.82339727,28
5.829157307,2
5.834917343,-19
5.84067738,-26
5.846437417,-36
5.852197454,-43
5.857957491,-61
5.863717528,-90
5.869477565,-106
5.875237602,-118
5.880997638,-118
5.886757675,-118
5.892517712,-106
5.898277749,-111
5.904037786,-114
5.909797823,-113
5.91555786,-109
5.921317896,-91
5.927077933,-73
5.93283797,-33
5.938598007,-20
5.944358044,-10
5.950118081,-9
5.955878118,-6
5.961638154,-13
5.967398191,-4
5.973158228,10
5.978918265,39
5.984678302,38
5.990438339,25
5.996198376,-13
6.001958413,-48
6.007718449,-55
6.013478486,-47
6.019238523,-40
6.02499856,-40
6.030758597,-39
6.036518634,-45
6.042278671,-56
6.048038707,-60
6.053798744,-45
6.059558781,-36
6.065318818,-15
6.071078855,-19
6.076838892,-3
6.082598929,-26
6.088358965,-9
6.094119002,4
6.099879039,5
6.105639076,9
6.111399113,-3
6.11715915,-30
6.122919187,-58
6.128679224,-92
6.13443926,-110
6.140199297,-135
6.145959334,-142
6.151719371,-166
6.157479408,-188
6.163239445,-221
6.168999482,-217
6.174759518,-198
6.180519555,-167
6.186279592,-132
6.192039629,-107
6.197799666,-70
6.203559703,-45
6.20931974,-26
6.215079777,-13
6.220839813,0
6.22659985,19
6.232359887,30
6.238119924,32
6.243879961,-5
6.249639998,-19
6.255400035,-35
6.261160071,-56
6.266920108,-68
6.272680145,-86
6.278440182,-89
6.284200219,-78
6.289960256,-42
6.295720293,-12
6.301480329,15
6.307240366,40
6.313000403,53
6.31876044,68
6.324520477,73
6.330280514,82
6.336040551,82
6.341800588,79
6.347560624,84
6.353320661,102
6.359080698,100
6.364840735,73
6.370600772,43
6.376360809,25
6.382120846,5
6.387880882,-7
6.393640919,-6
6.399400956,-15
6.405160993,-7
6.41092103,-26
6.416681067,-18
6.422441104,-19
6.42820114,2
6.433961177,27
6.439721214,36
6.445481251,44
6.451241288,29
6.457001325,29
6.462761362,5
6.468521399,12
6.474281435,45
6.480041472,56
6.485801509,77
6.491561546,83
6.497321583,82
6.50308162,81
6.508841657,69
6.514601693,65
6.52036173,57
6.526121767,46
6.531881804,42
6.537641841,32
6.543401878,13
6.549161915,1
6.554921952,-21
6.560681988,-33
6.566442025,-37
6.572202062,-22
6.577962099,-7
6.583722136,-24
6.589482173,-32
6.59524221,-49
6.601002246,-40
6.606762283,-36
6.61252232,-5
6.618282357,3
6.624042394,15
6.629802431,14
6.635562468,0
6.641322504,-17
6.647082541,-19
6.652842578,-8
6.658602615,-8
6.664362652,-22
6.670122689,-34
6.675882726,-61
6.681642763,-74
6.687402799,-74
6.693162836,-65
6.698922873,-68
6.70468291,-61
6.710442947,-52
6.716202984,-34
6.721963021,-21
6.727723057,2
6.733483094,31
6.739243131,52
6.745003168,68
6.750763205,86
6.756523242,89
6.762283279,87
6.768043315,62
6.773803352,55
6.779563389,22
6.785323426,-2
6.791083463,-18
6.7968435,-42
6.802603537,-53
6.808363574,-70
6.81412361,-75
6.819883647,-82
6.825643684,-67
6.831403721,-49
6.837163758,-19
6.842923795,-12
6.848683832,4
6.854443868,32
6.860203905,61
6.865963942,74
6.871723979,104
6.877484016,109
6.883244053,109
6.88900409,114
6.894764126,117
6.900524163,112
6.9062842,94
6.912044237,75
6.917804274,52
6.923564311,27
6.929324348,10
6.935084385,1
6.940844421,-14
6.946604458,-33
6.952364495,-49
6.958124532,-65
6.963884569,-82
6.969644606,-82
6.975404643,-88
6.981164679,-91
6.986924716,-85
6.992684753,-72
6.99844479,-59
7.004204827,-48
7.009964864,-35
7.015724901,-17
7.021484938,0
7.027244974,12
7.033005011,30
7.038765048,42
7.044525085,45
7.050285122,47
7.056045159,44
7.061805196,32
7.067565232,21
7.073325269,11
7.079085306,2
7.084845343,-10
7.09060538,-34
7.096365417,-39
7.102125454,-56
7.10788549,-51
7.113645527,-30
7.119405564,-9
7.125165601,5
7.130925638,38
7.136685675,71
7.142445712,86
7.148205749,102
7.153965785,128
7.159725822,132
7.165485859,139
7.171245896,144
7.177005933,129
7.18276597,106
7.188526007,82
7.194286043,61
7.20004608,43
7.205806117,30
7.211566154,25
7.217326191,33
7.223086228,36
7.228846265,48
7.234606301,56
7.240366338,56
7.246126375,69
7.251886412,88
7.257646449,106
7.263406486,111
7.269166523,111
7.27492656,125
7.280686596,131
7.286446633,151
7.29220667,146
7.297966707,138
7.303726744,95
7.309486781,62
7.315246818,19
7.321006854,-4
7.326766891,-26
7.332526928,-45
7.338286965,-73
7.344047002,-106
7.349807039,-111
7.355567076,-112
7.361327112,-94
7.367087149,-72
7.372847186,-21
7.378607223,13
7.38436726,30
7.390127297,48
7.395887334,61
7.401647371,78
7.407407407,100
7.413167444,116
7.418927481,124
7.424687518,133
7.430447555,151
7.436207592,167
7.441967629,186
7.447727665,193
7.453487702,205
7.459247739,198
7.465007776,197
7.470767813,176
7.47652785,145
7.482287887,106
7.488047924,75
7.49380796,70
7.499567997,60
7.505328034,45
7.511088071,25
7.516848108,10
7.522608145,-6
7.528368182,-11
7.534128218,-12
7.539888255,-20
7.545648292,-30
7.551408329,-27
7.557168366,-34
7.562928403,-34
7.56868844,-20
7.574448476,2
7.580208513,29
7.58596855,38
7.591728587,42
7.597488624,35
7.603248661,-1
7.609008698,-25
7.614768735,-51
7.620528771,-65
7.626288808,-64
7.632048845,-69
7.637808882,-61
7.643568919,-77
7.649328956,-63
7.655088993,-47
7.660849029,-31
7.666609066,-19
7.672369103,4
7.67812914,5
7.683889177,2
7.689649214,-3
7.695409251,-5
7.701169287,-4
7.706929324,-2
7.712689361,-7
7.718449398,-32
7.724209435,-58
7.729969472,-76
7.735729509,-93
7.741489546,-109
7.747249582,-123
7.753009619,-107
7.758769656,-92
7.764529693,-77
7.77028973,-51
7.776049767,-46
7.781809804,-21
7.78756984,-29
7.793329877,-1
7.799089914,0
7.804849951,13
7.810609988,20
7.816370025,24
7.822130062,30
7.827890098,31
7.833650135,41
7.839410172,43
7.845170209,37
7.850930246,30
7.856690283,6
7.86245032,-17
7.868210357,-37
7.873970393,-45
7.87973043,-47
7.885490467,-51
7.891250504,-36
7.897010541,-39
7.902770578,-40
7.908530615,-23
7.914290651,14
7.920050688,38
7.925810725,47
7.931570762,46
7.937330799,42
7.943090836,11
7.948850873,-11
7.95461091,-33
7.960370946,-71
7.966130983,-90
7.97189102,-110
7.977651057,-119
7.983411094,-120
7.989171131,-113
7.994931168,-105
8.000691204,-101
8.006451241,-92
8.012211278,-73
8.017971315,-64
8.023731352,-66
8.029491389,-64
8.035251426,-61
8.041011462,-62
8.046771499,-56
8.052531536,-59
8.058291573,-77
8.06405161,-86
8.069811647,-74
8.075571684,-76
8.081331721,-38
8.087091757,-21
8.092851794,33
8.098611831,63
8.104371868,61
8.110131905,57
8.115891942,53
8.121651979,31
8.127412015,32
8.133172052,31
8.138932089,25
8.144692126,20
8.150452163,18
8.1562122,13
8.161972237,-3
8.167732273,-24
8.17349231,-25
8.179252347,-39
8.185012384,-34
8.190772421,-34
8.196532458,-14
8.202292495,-15
8.208052532,-11
8.213812568,7
8.219572605,7
8.225332642,14
8.231092679,12
8.236852716,24
8.242612753,16
8.24837279,25
8.254132826,25
8.259892863,22
8.2656529,15
8.271412937,4
8.277172974,-13
8.282933011,-34
8.288693048,-26
8.294453084,2
8.300213121,29
8.305973158,56
8.311733195,69
8.317493232,85
8.323253269,97
8.329013306,105
8.334773343,117
8.340533379,117
8.346293416,106
8.352053453,79
8.35781349,29
8.363573527,-34
8.369333564,-68
8.375093601,-88
8.380853637,-96
8.386613674,-98
8.392373711,-111
8.398133748,-131
8.403893785,-136
8.409653822,-122
8.415413859,-88
8.421173896,-53
8.426933932,-12
8.432693969,43
8.438454006,93
8.444214043,88
8.44997408,85
8.455734117,78
8.461494154,71
8.46725419,84
8.473014227,86
8.478774264,68
8.484534301,51
8.490294338,30
8.496054375,22
8.501814412,7
8.507574448,9
8.513334485,18
8.519094522,7
8.524854559,0
8.530614596,-6
8.536374633,-7
8.54213467,-10
8.547894707,-13
8.553654743,0
8.55941478,-4
8.565174817,1
8.570934854,-11
8.576694891,-33
8.582454928,-48
8.588214965,-60
8.593975001,-36
8.599735038,-48
8.605495075,-58
8.611255112,-103
8.617015149,-123
8.622775186,-137
8.628535223,-105
8.634295259,-59
8.640055296,-11
8.645815333,40
8.65157537,64
8.657335407,74
8.663095444,58
8.668855481,69
8.674615518,71
8.680375554,80
8.686135591,79
8.691895628,74
8.697655665,63
8.703415702,46
8.709175739,43
8.714935776,38
8.720695812,37
8.726455849,38
8.732215886,22
8.737975923,8
8.74373596,-28
8.749495997,-44
8.755256034,-81
8.761016071,-97
8.766776107,-100
8.772536144,-79
8.778296181,-60
8.784056218,-45
8.789816255,-22
8.795576292,1
8.801336329,31
8.807096365,56
8.812856402,80
8.818616439,79
8.824376476,80
8.830136513,67
8.83589655,56
8.841656587,50
8.847416623,42
8.85317666,35
8.858936697,11
8.864696734,-31
8.870456771,-57
8.876216808,-63
8.881976845,-61
8.887736882,-38
8.893496918,-20
8.899256955,-14
8.905016992,-21
8.910777029,-9
8.916537066,8
8.922297103,28
8.92805714,49
8.933817176,80
8.939577213,82
8.94533725,96
8.951097287,92
8.956857324,97
8.962617361,79
8.968377398,65
8.974137434,46
8.979897471,19
8.985657508,-9
8.991417545,-29
8.997177582,-45
9.002937619,-73
9.008697656,-108
9.014457693,-121
9.020217729,-138
9.025977766,-120
9.031737803,-109
9.03749784,-96
9.043257877,-95
9.049017914,-62
9.054777951,-19
9.060537987,18
9.066298024,63
9.072058061,116
9.077818098,165
9.083578135,195
9.089338172,195
9.095098209,150
9.100858245,92
9.106618282,16
9.112378319,-46
9.118138356,-109
9.123898393,-177
9.12965843,-242
9.135418467,-261
9.141178504,-262
9.14693854,-232
9.152698577,-188
9.158458614,-137
9.164218651,-84
9.169978688,-31
9.175738725,6
9.181498762,36
9.187258798,66
9.193018835,97
9.198778872,98
9.204538909,85
9.210298946,46
9.216058983,29
9.22181902,-20
9.227579057,-34
9.233339093,-52
9.23909913,-84
9.244859167,-106
9.250619204,-133
9.256379241,-170
9.262139278,-182
9.267899315,-186
9.273659351,-158
9.279419388,-123
9.285179425,-76
9.290939462,-32
9.296699499,4
9.302459536,17
9.308219573,28
9.313979609,40
9.319739646,44
9.325499683,43
9.33125972,33
9.337019757,17
9.342779794,-12
9.348539831,-21
9.354299868,-26
9.360059904,-31
9.365819941,-36
9.371579978,-47
9.377340015,-57
9.383100052,-66
9.388860089,-57
9.394620126,-35
9.400380162,-32
9.406140199,-25
9.411900236,-10
9.417660273,20
9.42342031,26
9.429180347,41
9.434940384,57
9.44070042,62
9.446460457,75
9.452220494,79
9.457980531,82
9.463740568,67
9.469500605,50
9.475260642,27
9.481020679,20
9.486780715,16
